tanggal,completeness 
2019-02-13T01:00:00.560Z,99.8837902702923 
2019-02-13T02:00:00.560Z,100 
2019-02-13T03:00:00.560Z,100 
2019-02-13T04:00:00.560Z,100 
2019-02-13T05:00:00.560Z,99.9693351151404 
2019-02-13T06:00:00.560Z,99.6271557357479 
2019-02-13T07:00:00.560Z,99.85934888605 
2019-02-13T08:00:00.560Z,99.8267603737269 
2019-02-13T09:00:00.560Z,99.5212430706978 
2019-02-13T10:00:00.560Z,98.8572521321147 
2019-02-13T11:00:00.560Z,98.4295279078741 
2019-02-13T12:00:00.560Z,98.1606726812085 
2019-02-13T13:00:00.560Z,98.2543646541374 
2019-02-13T14:00:00.560Z,98.5435877010049 
2019-02-13T15:00:00.560Z,98.3684244472683 
2019-02-13T16:00:00.560Z,99.3949625854458 
2019-02-13T17:00:00.560Z,99.5660522751421 
2019-02-13T18:00:00.560Z,99.4275510977689 
2019-02-13T19:00:00.560Z,99.6027143515056 
2019-02-13T20:00:00.560Z,100 
2019-02-13T21:00:00.560Z,100 
2019-02-13T22:00:00.560Z,100 
2019-02-13T23:00:00.560Z,100 
2019-02-14T00:00:00.560Z,100 
2019-02-14T01:00:00.560Z,100 
2019-02-14T02:00:00.560Z,99.7982454254442 
2019-02-14T03:00:00.560Z,99.8960109624135 
2019-02-14T04:00:00.560Z,100 
2019-02-14T05:00:00.560Z,100 
2019-02-14T06:00:00.560Z,99.8023189894845 
2019-02-14T07:00:00.560Z,99.7982454254442 
2019-02-14T08:00:00.560Z,99.9041580904942 
2019-02-14T09:00:00.560Z,99.3297855607996 
2019-02-14T10:00:00.560Z,99.2116522036284 
2019-02-14T11:00:00.560Z,99.4356982258497 
2019-02-14T12:00:00.560Z,99.8226868096865 
2019-02-14T13:00:00.560Z,99.8471281939288 
2019-02-14T14:00:00.560Z,99.7615833490807 
2019-02-14T15:00:00.560Z,99.838981065848 
2019-02-14T16:00:00.560Z,99.9937764993827 
2019-02-14T17:00:00.560Z,99.9530408589789 
2019-02-14T18:00:00.560Z,100 
2019-02-14T19:00:00.560Z,100 
2019-02-14T20:00:00.560Z,100 
2019-02-14T21:00:00.560Z,100 
2019-02-14T22:00:00.560Z,100 
2019-02-14T23:00:00.560Z,100 
2019-02-15T00:00:00.560Z,100 
2019-02-15T01:00:00.560Z,100 
2019-02-15T02:00:00.560Z,100 
2019-02-15T03:00:00.560Z,100 
2019-02-15T04:00:00.560Z,100 
2019-02-15T05:00:00.560Z,100 
2019-02-15T06:00:00.560Z,100 
2019-02-15T07:00:00.560Z,99.8756431422115 
2019-02-15T08:00:00.560Z,100 
2019-02-15T09:00:00.560Z,100 
2019-02-15T10:00:00.560Z,100 
2019-02-15T11:00:00.560Z,100 
2019-02-15T12:00:00.560Z,100 
2019-02-15T13:00:00.560Z,100 
2019-02-15T14:00:00.560Z,100 
2019-02-15T15:00:00.560Z,100 
2019-02-15T16:00:00.560Z,100 
2019-02-15T17:00:00.560Z,100 
2019-02-15T18:00:00.560Z,100 
2019-02-15T19:00:00.560Z,100 
2019-02-15T20:00:00.560Z,100 
2019-02-15T21:00:00.560Z,100 
2019-02-15T22:00:00.560Z,100 
2019-02-15T23:00:00.560Z,100 
2019-02-16T00:00:00.560Z,100 
2019-02-16T01:00:00.560Z,100 
2019-02-16T02:00:00.560Z,100 
2019-02-16T03:00:00.560Z,100 
2019-02-16T04:00:00.560Z,100 
